Time,Temperature,Dew_Point,Humidity,Wind,Wind_Speed,Wind_Gust,Pressure,Precipitation,Condition,,
12:53 AM,80 °F,76 °F,87 %,S,9 mph,0 mph,29.22 in,0.0 in,Fair,,
1:53 AM,78 °F,77 °F,96 %,SSW,9 mph,0 mph,29.22 in,0.0 in,Fair,,
2:53 AM,76 °F,76 °F,100 %,SSW,6 mph,0 mph,29.21 in,0.0 in,Fair,,
3:53 AM,76 °F,76 °F,100 %,S,3 mph,0 mph,29.22 in,0.0 in,Mostly Cloudy,,
4:53 AM,75 °F,75 °F,100 %,CALM,0 mph,0 mph,29.22 in,0.0 in,Fair,,
5:53 AM,73 °F,73 °F,100 %,CALM,0 mph,0 mph,29.23 in,0.0 in,Fair,,
6:53 AM,74 °F,74 °F,100 %,CALM,0 mph,0 mph,29.24 in,0.0 in,Fair,,
7:53 AM,76 °F,76 °F,100 %,SSE,5 mph,0 mph,29.26 in,0.0 in,Fog,,
8:53 AM,79 °F,79 °F,100 %,SSE,3 mph,0 mph,29.27 in,0.0 in,Fair,,
9:53 AM,84 °F,78 °F,82 %,SSW,12 mph,17 mph,29.28 in,0.0 in,Mostly Cloudy,,
10:53 AM,88 °F,78 °F,72 %,S,9 mph,0 mph,29.29 in,0.0 in,Partly Cloudy,,
11:53 AM,90 °F,76 °F,63 %,S,13 mph,20 mph,29.28 in,0.0 in,Mostly Cloudy,,
12:53 PM,91 °F,75 °F,59 %,VAR,5 mph,17 mph,29.26 in,0.0 in,Partly Cloudy,,
1:53 PM,93 °F,74 °F,54 %,SSW,6 mph,16 mph,29.24 in,0.0 in,Partly Cloudy,,
2:53 PM,93 °F,72 °F,50 %,SSE,3 mph,0 mph,29.23 in,0.0 in,Partly Cloudy,,
3:53 PM,96 °F,72 °F,46 %,SSE,8 mph,17 mph,29.21 in,0.0 in,Partly Cloudy,,
4:53 PM,97 °F,70 °F,41 %,SSW,10 mph,0 mph,29.19 in,0.0 in,Partly Cloudy,,
5:53 PM,96 °F,70 °F,43 %,SSE,7 mph,0 mph,29.18 in,0.0 in,Fair,,
6:53 PM,94 °F,70 °F,46 %,SSE,9 mph,0 mph,29.18 in,0.0 in,Fair,,
7:53 PM,89 °F,74 °F,61 %,SE,16 mph,22 mph,29.20 in,0.0 in,Partly Cloudy,,
8:53 PM,86 °F,76 °F,72 %,SSE,10 mph,0 mph,29.22 in,0.0 in,Fair,,
9:53 PM,81 °F,77 °F,88 %,SE,10 mph,0 mph,29.26 in,0.0 in,Fair,,
10:53 PM,82 °F,77 °F,85 %,SSE,6 mph,0 mph,29.28 in,0.0 in,Fair,,
11:53 PM,80 °F,77 °F,90 %,S,3 mph,0 mph,29.29 in,0.0 in,Fair,,
12:53 AM,79 °F,78 °F,97 %,SSW,6 mph,0 mph,29.28 in,0.0 in,Fair,,
1:53 AM,78 °F,78 °F,100 %,CALM,0 mph,0 mph,29.29 in,0.0 in,Fair,,
